Record_ID,Device_ID,Location,Timestamp_UTC,Soil_Moisture_Percent,Soil_pH_Level,Soil_Temperature_DS18B20_C,Air_Temperature_DHT22_C,Air_Humidity_DHT22_Percent,Sunlight_LDR_ADC_12bit,Air_Quality_MQ135_ppm,Soil_Nitrogen_mg_per_kg,Data_Quality_Flag
1,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 00:00,52.27,6.6,21.97,20.41,73.83,1,198.23,66.93,Valid
2,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 01:00,53.74,6.65,21.96,20.06,74.65,21,193.3,70.06,Valid
3,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 02:00,54.47,6.63,22.05,19.6,76.07,10,192.49,66.56,Valid
4,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 03:00,54.02,6.68,22.09,19.52,73.17,11,193.68,69.05,Valid
5,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 04:00,53.49,6.68,22.41,19.53,76.82,15,195.75,69.94,Valid
6,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 05:00,54.31,6.68,22.37,23.34,74.72,150,190.39,67.34,Valid
7,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 06:00,53.85,6.69,22.91,24.89,71.3,845,201.22,69.56,Valid
8,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 07:00,55.02,6.63,24.93,26.67,67.91,1648,210.92,67.66,Valid
9,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 08:00,55.04,6.66,25.48,29.06,63.63,2369,209.66,65.99,Valid
10,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 09:00,55.06,6.64,26.57,29.43,61.07,2970,213.23,66.31,Valid
11,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 10:00,55.82,6.68,28.34,31.58,56.44,3423,217.65,66.85,Valid
12,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 11:00,55.38,6.66,28.13,31.51,56.76,3704,219.4,67.19,Valid
13,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 12:00,54.42,6.62,28.05,32.73,56.3,3800,221.4,66.42,Valid
14,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 13:00,55.38,6.68,27.84,31.91,57.91,3704,221.9,67.89,Valid
15,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 14:00,54.28,6.59,26.6,31.43,60.93,3423,214.89,69.13,Valid
16,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 15:00,55.5,6.68,26.5,30.41,61.51,2970,212.42,66.3,Valid
17,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 16:00,55.41,6.62,25.8,28.82,63.42,2369,209.69,65.44,Valid
18,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 17:00,55.69,6.6,24.58,26.94,67.12,1648,206.59,65.07,Valid
19,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 18:00,54.35,6.65,23.27,24.75,70.68,845,205.16,69.25,Valid
20,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 19:00,55.49,6.6,22.06,23.11,73,150,193.04,66.64,Valid
21,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 20:00,54.68,6.61,21.95,20.66,75.22,22,195.45,66.3,Valid
22,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 21:00,53.92,6.67,21.89,20.23,74.79,24,191.99,69.62,Valid
23,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 22:00,54.34,6.72,21.69,20.22,74.74,24,204.44,68.14,Valid
24,ESP32-FARM-01,Ideal_Growth_Field,01-01-2026 23:00,52.39,6.73,22.51,20.19,73.63,10,195.44,67.82,Valid
25,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 00:00,52.6,6.67,21.91,19.57,74.81,8,197.86,68.48,Valid
26,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 01:00,52.11,6.59,22.21,20.15,78.68,5,193.67,67.61,Valid
27,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 02:00,54.36,6.58,22.04,19.68,73.83,18,194.39,69.44,Valid
28,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 03:00,52.51,6.72,21.9,20.11,74.91,24,194.03,67.75,Valid
29,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 04:00,54.11,6.69,22.11,20.11,75.41,22,196.52,71.85,Valid
30,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 05:00,54.52,6.66,21.8,23.09,73.86,150,195.52,66.28,Valid
31,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 06:00,53.19,6.66,23.58,25.79,71.5,845,202.07,70.59,Valid
32,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 07:00,54.29,6.65,24.14,27.14,68.47,1648,205.56,67.57,Valid
33,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 08:00,55.22,6.68,25.61,28.49,65.34,2369,209.52,68.21,Valid
34,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 09:00,54.26,6.57,27.02,29.09,60.2,2970,217.46,66.06,Valid
35,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 10:00,54.31,6.71,27.02,31.65,58.74,3423,218.07,67.87,Valid
36,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 11:00,55.44,6.71,27.66,31.84,57.24,3704,219.63,70.38,Valid
37,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 12:00,56.05,6.57,28.21,32.44,55.18,3800,218.3,68.68,Valid
38,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 13:00,54.21,6.64,27.74,31.42,57.44,3704,217.85,67.77,Valid
39,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 14:00,54.39,6.66,27.13,31.05,57.82,3423,214.09,69.83,Valid
40,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 15:00,54.47,6.62,26.58,29.63,63.04,2970,215.6,68.08,Valid
41,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 16:00,54.95,6.7,25.85,28.2,63.86,2369,202.87,67.55,Valid
42,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 17:00,53.61,6.61,25.16,26.62,67.66,1648,204.99,69.36,Valid
43,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 18:00,54.56,6.69,23.58,25.41,70.1,845,200.79,68.82,Valid
44,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 19:00,54.85,6.62,21.96,23.36,73.24,150,193.02,67.68,Valid
45,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 20:00,55.44,6.66,22.13,19.78,76.7,18,196.71,68.96,Valid
46,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 21:00,55.88,6.67,22.48,19.7,74.77,11,196.71,67.5,Valid
47,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 22:00,54.28,6.61,22.48,20.66,77.25,22,194.04,68.47,Valid
48,ESP32-FARM-01,Ideal_Growth_Field,02-01-2026 23:00,52.55,6.68,22.18,19.72,76.45,10,193.16,66.93,Valid
49,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 00:00,53.11,6.67,21.55,20.2,74.95,5,196.9,65.49,Valid
50,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 01:00,52.28,6.69,22.33,19.5,75.6,15,194.35,67.43,Valid
51,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 02:00,51.45,6.55,21.92,20.1,74.13,19,194.67,69.31,Valid
52,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 03:00,53.44,6.67,21.83,19.43,73.66,9,190.42,65.08,Valid
53,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 04:00,53.14,6.62,22.2,20.17,75.43,15,191.28,67.72,Valid
54,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 05:00,54.45,6.68,22.27,23.47,72.63,150,196.98,66.17,Valid
55,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 06:00,54.99,6.62,23.97,24.45,72.32,845,196.11,67.79,Valid
56,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 07:00,54.29,6.75,25.11,25.84,67.79,1648,203.15,66.09,Valid
57,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 08:00,55.49,6.65,25.61,28.68,64.53,2369,212.73,69.42,Valid
58,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 09:00,54.22,6.65,26.21,29.62,61.38,2970,212.64,68.96,Valid
59,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 10:00,56.89,6.61,27.85,31.07,58.57,3423,218.55,66.69,Valid
60,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 11:00,54.18,6.62,27.61,31.89,56.69,3704,222.45,69.42,Valid
61,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 12:00,54.82,6.61,28.14,31.86,58.68,3800,219.02,68.65,Valid
62,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 13:00,55.33,6.66,28.12,31.67,57.91,3704,217.56,67.35,Valid
63,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 14:00,55.7,6.64,27.88,30.97,56.97,3423,222.86,69.56,Valid
64,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 15:00,54.55,6.63,26.18,30.2,61.05,2970,216.67,68.68,Valid
65,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 16:00,54.34,6.62,25.21,28.49,64.03,2369,211.97,68.11,Valid
66,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 17:00,55.16,6.63,24.64,26.2,67.16,1648,206.89,65.06,Valid
67,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 18:00,54.98,6.64,22.91,25.91,72.56,845,198.23,66.51,Valid
68,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 19:00,54.41,6.67,22.84,23.1,75.03,150,196.72,69.47,Valid
69,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 20:00,53.99,6.66,21.94,20,76.16,1,191.59,67.34,Valid
70,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 21:00,54.2,6.62,21.73,20.31,76.26,18,194.83,67.54,Valid
71,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 22:00,54.27,6.64,21.92,20.09,73.8,9,193.39,66.32,Valid
72,ESP32-FARM-01,Ideal_Growth_Field,03-01-2026 23:00,52.34,6.72,21.59,20.04,74.78,0,196.5,68.31,Valid
73,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 00:00,52.4,6.66,22,20.48,74.54,24,192.35,66.11,Valid
74,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 01:00,53.18,6.61,22.09,19.99,73.59,10,192.66,67.01,Valid
75,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 02:00,53.65,6.76,21.94,19.68,73.29,0,194.43,70.51,Valid
76,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 03:00,52.75,6.65,22.1,19.39,75.86,17,195.94,67.77,Valid
77,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 04:00,53.35,6.7,21.96,19.27,76.67,10,195.81,71.92,Valid
78,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 05:00,55.14,6.62,22.11,22.92,74.08,150,191.73,64.23,Valid
79,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 06:00,55.21,6.59,23.09,24.38,71.01,845,200.02,65.75,Valid
80,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 07:00,52.84,6.68,24.42,26.8,66.16,1648,203.37,67.04,Valid
81,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 08:00,55.38,6.65,26.07,28.32,62.98,2369,206.98,68,Valid
82,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 09:00,54.75,6.61,26.44,29.79,57.96,2970,212.94,69.17,Valid
83,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 10:00,54.86,6.66,27.47,31.46,56.33,3423,215.48,68.11,Valid
84,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 11:00,53.78,6.62,28.02,30.86,56.83,3704,216.61,68.02,Valid
85,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 12:00,54.4,6.68,28.55,32.38,56.24,3800,221.16,65.99,Valid
86,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 13:00,53.71,6.63,27.47,31.33,57.32,3704,214.28,67.51,Valid
87,ESP32-FARM-01,Ideal_Growth_Field,04-01-2026 14:00,53.44,6.63,27.67,30.84,59.2,3423,219.24,71.67,Valid
