Record_ID,Soil_pH_Level,Soil_Nitrogen_mg_per_kg
1,6.6,66.93
2,6.65,70.06
3,6.63,66.56
4,6.68,69.05
5,6.68,69.94
6,6.68,67.34
7,6.69,69.56
8,6.63,67.66
9,6.66,65.99
10,6.64,66.31
11,6.68,66.85
12,6.66,67.19
13,6.62,66.42
14,6.68,67.89
15,6.59,69.13
16,6.68,66.3
17,6.62,65.44
18,6.6,65.07
19,6.65,69.25
20,6.6,66.64
21,6.61,66.3
22,6.67,69.62
23,6.72,68.14
24,6.73,67.82
25,6.67,68.48
26,6.59,67.61
27,6.58,69.44
28,6.72,67.75
29,6.69,71.85
30,6.66,66.28
31,6.66,70.59
32,6.65,67.57
33,6.68,68.21
34,6.57,66.06
35,6.71,67.87
36,6.71,70.38
37,6.57,68.68
38,6.64,67.77
39,6.66,69.83
40,6.62,68.08
41,6.7,67.55
42,6.61,69.36
43,6.69,68.82
44,6.62,67.68
45,6.66,68.96
46,6.67,67.5
47,6.61,68.47
48,6.68,66.93
49,6.67,65.49
50,6.69,67.43
51,6.55,69.31
52,6.67,65.08
53,6.62,67.72
54,6.68,66.17
55,6.62,67.79
56,6.75,66.09
57,6.65,69.42
58,6.65,68.96
59,6.61,66.69
60,6.62,69.42
61,6.61,68.65
62,6.66,67.35
63,6.64,69.56
64,6.63,68.68
65,6.62,68.11
66,6.63,65.06
67,6.64,66.51
68,6.67,69.47
69,6.66,67.34
70,6.62,67.54
71,6.64,66.32
72,6.72,68.31
73,6.66,66.11
74,6.61,67.01
75,6.76,70.51
76,6.65,67.77
77,6.7,71.92
78,6.62,64.23
79,6.59,65.75
80,6.68,67.04
81,6.65,68
82,6.61,69.17
83,6.66,68.11
84,6.62,68.02
85,6.68,65.99
86,6.63,67.51
87,6.63,71.67
88,6.63,69.04
89,6.67,70.48
90,6.62,65.5
91,6.59,68.16
92,6.63,68.5
93,6.67,66.67
94,6.6,64.68
95,6.67,66.28
96,6.64,66.68
97,6.68,66.83
98,6.62,66.39
99,6.7,67.48
100,6.59,68.66
101,6.67,67.23
102,6.66,69.67
103,6.69,69.34
104,6.67,67.42
105,6.68,67.28
106,6.62,65.92
107,6.65,68.43
108,6.63,68.81
109,6.63,67.81
110,6.65,66.21
111,6.7,69.12
112,6.63,66.08
113,6.64,70.77
114,6.73,64.56
115,6.61,67.12
116,6.69,67.21
117,6.67,68.6
118,6.62,69.28
119,6.63,69.45
120,6.67,68.87
121,6.65,66
122,6.61,67.2
123,6.59,68.09
124,6.63,67.15
125,6.68,70.08
126,6.71,66.88
127,6.67,66.88
128,6.67,67.62
129,6.67,65.98
130,6.67,70.27
131,6.66,68.27
132,6.61,69.16
133,6.63,67.4
134,6.64,70.44
135,6.68,66.77
136,6.65,71.82
137,6.61,68.33
138,6.65,65.95
139,6.68,67.07
140,6.65,68.14
141,6.65,66.1
142,6.6,70.5
143,6.57,67.44
144,6.66,67.1
145,6.67,67.59
146,6.66,67.44
147,6.67,67.58
148,6.64,69.06
149,6.68,67.28
150,6.75,68.44
151,6.65,68.41
152,6.64,70.14
153,6.59,68.1
154,6.65,68.95
155,6.7,68.8
156,6.7,66.68
157,6.67,69.58
158,6.64,67.6
159,6.65,67.4
160,6.69,68.43
161,6.69,65.43
162,6.7,68.71
163,6.69,68.1
164,6.61,68.48
165,6.65,67.44
166,6.61,68.97
167,6.67,68.89
168,6.62,66.44
169,6.65,64.29
170,6.68,68.79
171,6.67,65.09
172,6.67,68.72
173,6.69,69.22
174,6.65,65.13
175,6.58,66.59
176,6.66,68.71
177,6.63,68.79
178,6.67,68.53
179,6.67,69.67
180,6.71,69.62
181,6.63,66.66
182,6.61,68.29
183,6.71,64.23
184,6.7,68.76
185,6.66,65.79
186,6.65,67.53
187,6.66,68.09
188,6.6,68.43
